.	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考				
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ	100.0h		仕掛中	06/06	06/06	06/20						
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
	すべてのイベント　/cevent/?direction=all		ENG1ST-2045	NTQ			却下					ENG1ST-2044にマージ				
		実装		NTQ			未着手									
		テスト仕様書作成		NTQ			未着手									
		テスト仕様書レビュー		宗			未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ			未着手									
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
	イベント詳細　/cevent/detail/20680		ENG1ST-2046	NTQ			仕掛中									
		実装		NTQ	177.0h		仕掛中	06/02	06/02	06/30						
		テスト仕様書作成		NTQ	248.0h		仕掛中	06/06	06/06	07/29						
		テスト仕様書レビュー		宗			未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ	120.0h		未着手	07/27		08/24						
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
1	"イベント提案画面（イベントから招待）　/cevent/invite?event=20680 [ENG1ST-2047]
/cevent/invite_send
/cevent/invite_preview?smp=1 [ENG1ST-2048]
/cevent/invite_preview [ENG1ST-2049]"		ENG1ST-2047	NTQ			仕掛中									
		実装		NTQ	109.0h	83.3h	完了	04/05	04/05	04/25	04/25					
		テスト仕様書作成		NTQ	128.0h	100.0h	完了	04/05	04/05	04/28	04/28	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1651224434652889				
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ	16.0h		未着手									
		機能テスト実施		NTQ	72.0h	100.0h	完了	04/26	04/25	05/10	05/10					
		レビュー					未着手									
		FB対応		NTQ	18.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
	スマホのプレビュー　/cevent/invite_preview?smp=1		ENG1ST-2048	NTQ			却下					ENG1ST-2047にマージ				
		実装		NTQ			却下									
		テスト仕様書作成		NTQ			却下									
		テスト仕様書レビュー					却下									
		テスト仕様書FB対応		NTQ			却下									
		機能テスト実施		NTQ			却下									
		レビュー					却下									
		FB対応		NTQ			却下									
		受入					却下									
		リリース準備					却下									
	プレビュー　/cevent/invite_preview		ENG1ST-2049	NTQ			却下					ENG1ST-2047にマージ				
		実装		NTQ			却下									
		テスト仕様書作成		NTQ			却下									
		テスト仕様書レビュー					却下									
		テスト仕様書FB対応		NTQ			却下									
		機能テスト実施		NTQ			却下									
		レビュー					却下									
		FB対応		NTQ			却下									
		受入					却下									
		リリース準備					却下									
	"イベント編集　/cevent/edit/15019
　　　　　　　/cevent/done/edit"		ENG1ST-2050	NTQ			仕掛中									
		実装		NTQ	160.0h		完了	05/04	05/04	05/31	05/31					
		テスト仕様書作成		NTQ	184.0h		完了	05/04	05/04	06/07	06/07					
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ	100.0h		仕掛中	06/01	06/01	06/20						
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
2	イベント提案画面（学生から招待）　/cevent/invite?students=148625		ENG1ST-2051	NTQ			未着手					ENG1ST-2047と一緒にリリースする				
		実装		NTQ	41.0h	41.0h	完了	04/05	04/05	04/25	04/25					
