	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考			
		機能テスト実施		NTQ	30.0h	3.0h	完了	03/11	03/11	03/11	03/15	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647393398152189			
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	8.0h		未着手								
	"選考する（選考管理リスト）　選考管理リスト オファー取り消し
このフェーズの学生にメッセージを送信
/cofferlist/send_message?phase=100"		ENG1ST-1812	NTQ			仕掛中								
		実装		NTQ	41.0h	25.0h	完了	02/23	02/23	03/02	03/18				
		テスト仕様書作成		NTQ	56.0h	52.0h	完了	02/23	02/23	03/03	03/24	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648088568319609			
		テスト仕様書レビュー		山下	4.0h	6.0h	完了	03/04	03/30	03/07	03/30				
		テスト仕様書FB対応		NTQ	8.0h	2.0h	完了	03/31	03/31	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649153788956849?thread_ts=1648088568.319609&cid=C02BYE052ES			
		機能テスト実施		NTQ	30.0h	28.0h	完了	03/11	03/18	03/14	03/24	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648110736695229			
		NTQ側単体テスト修正		NTQ	4.0h		完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649246328550029?thread_ts=1649045764.721289&cid=C02BYE052ES			
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	8.0h		未着手								
	"選考する（選考管理リスト）　選考管理リスト オファー取り消し
このフェーズの学生にメッセージを送信　確認
/cofferlist/send_message_confirm"		ENG1ST-1817 	NTQ			仕掛中								
		実装		NTQ	41.0h	39.0h	完了	03/03	03/03	03/10	03/22				
		テスト仕様書作成		NTQ	56.0h	39.0h	完了	03/03	03/04	03/11	03/24	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648111080152679			
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	03/14	03/30	03/15	03/30				
		テスト仕様書FB対応		NTQ	8.0h	4.0h	完了	03/31	03/31	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649149846742889?thread_ts=1648111080.152679&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	30.0h	30.0h	完了	03/21	03/22	03/24	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648710652234419			
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	8.0h		未着手								
	"選考する（選考管理リスト）　メッセージリスト画面
/cmessage/list/recv"		"ENG1ST-1831
ENG1ST-1990"				却下					/cmassage/lisy (ENG1ST-1999)と同一Controllerのため集約			
		実装		NTQ	40.0h	40.0h	却下	03/03	02/28	03/10	03/16	仕掛ったが上記理由で却下			
		テスト仕様書作成		NTQ	16.0h	16.0h	却下	03/03		03/11					
		テスト仕様書レビュー			4.0h		却下	03/14		03/15					
		テスト仕様書FB対応		NTQ	4.0h		却下	03/16		03/16					
		機能テスト実施		NTQ	16.0h		却下	03/21		3/24/2022					
		レビュー		島	8.0h		却下	03/24		03/25					
		FB対応		NTQ	4.0h		却下	03/25		03/28					
		受入		島	8.0h		却下	03/28		03/29					
		リリース準備		島			却下								
	"契約プラン選択（契約プラン選択）画面
/cplansetting/select_plan"		ENG1ST-1983	NTQ			仕掛中								
		実装		NTQ	41.0h	22.0h	完了	03/03	03/03	03/10	03/17				
		テスト仕様書作成		NTQ	56.0h	27.5h	完了	03/03	03/03	03/11	03/18	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647581752285419			
		テスト仕様書レビュー		宗	4.0h	8.0h	完了	03/24	03/24	03/24	03/24				
		機能テスト仕様書修正（漏れ処理取り込み）		NTQ	1.0h	1.0h	完了	05/16	05/16	05/16	05/16	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652751251498959?thread_ts=1647581752.285419&cid=C02BYE052ES			
		機能テスト仕様書修正レビュー（漏れ処理取り込み）		宗			未着手								
		機能テスト実施		NTQ	30.0h	28.0h	完了	03/17	03/18	03/18	03/28	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648456521255339			
		NTQ側単体テスト修正		NTQ	4.0h	2.0h	完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649246328550029?thread_ts=1649045764.721289&cid=C02BYE052ES			
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		機能テスト実施（漏れ処理取り込み）		NTQ	0.5h	0.5h	完了	05/16	05/16	05/16	05/16				
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	8.0h		未着手								
	"採用年度：2021年卒向け「成功報酬サービス」画面
/cplansetting/about"		ENG1ST-1984	NTQ			仕掛中								
		実装		NTQ	41.0h	18.0h	完了	03/03	03/03	03/10	03/10				
		テスト仕様書作成		NTQ	56.0h	19.0h	完了	03/03	03/03	03/11	03/16	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647425262979829			
		テスト仕様書レビュー		山下	4.0h	8.0h	完了	03/14	03/24	03/15	03/24				
		機能テスト仕様書修正（漏れ処理取り込み）		NTQ	1.0h	1.0h	完了	05/16	05/16	05/16	05/16	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652751712069429?thread_ts=1647425262.979829&cid=C02BYE052ES			
		機能テスト仕様書修正レビュー（漏れ処理取り込み）		山下	3.0h	3.0h	完了	05/31	05/31	05/31	05/31	終了			
		機能テスト実施（漏れ処理取り込み）		NTQ	0.5h	0.5h	完了	05/16	05/16	05/16	05/16				
		機能テスト実施		NTQ	30.0h	8.0h	完了	03/17	03/14	03/18	03/16	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647426153995479			
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		コードレビュー		島	4.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島			未着手								
	"その他（便利機能使い方動画＆ノウハウ集）
使い方動画＆ノウハウ集画面
/cknowhow/"		ENG1ST-1985	NTQ			仕掛中								
		実装		NTQ	41.0h	16.0h	完了	03/03	02/21	03/10	03/10				
		テスト仕様書作成		NTQ	56.0h	10.0h	完了	03/03	03/03	03/11	03/14	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647237385164999			
		テスト仕様書レビュー		宗	16.0h	16.0h	完了	03/22	03/22	03/22	03/22				
		機能テスト実施		NTQ	30.0h	4.0h	完了	03/17	03/14	03/18	03/16	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647421230824599			
		コードレビュー		島	4.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	8.0h		未着手								
	"その他（便利機能使い方動画＆ノウハウ集） オファー初期設定＆メッセージテンプレート（1分）
/cknowhow/movie/3"		ENG1ST-1986				却下					「便利機能使い方動画＆ノウハウ集」のページをofferbox上から削除して、zendeskに飛ばす			
		実装		NTQ			却下	03/03	02/23	03/10					
		テスト仕様書作成		NTQ			却下	03/03		03/11					
		テスト仕様書レビュー		谷口			却下	03/14		03/15					
		テスト仕様書FB対応		NTQ		40.0h	却下	03/16		03/16					
		機能テスト実施		NTQ		16.0h	却下	03/17		03/18					
		レビュー		島		8.0h	却下	03/24		03/25					
		FB対応		NTQ			却下	03/25		03/28					
		受入		島			却下	03/28		03/29					
		リリース準備		島			却下								
	"その他 選考フェーズ設定・ラベル設定（6分）
/cknowhow/movie/3"		ENG1ST-1987				却下					ENG1ST-1986同機能のため集約			
		実装		NTQ			却下	03/03		03/10					
		テスト仕様書作成		NTQ			却下	03/03		03/11					
		テスト仕様書レビュー		谷口		40.0h	却下	03/14		03/15					
		テスト仕様書FB対応		NTQ		16.0h	却下	03/16		03/16					
		機能テスト実施		NTQ		4.0h	却下	03/17		03/18					
		レビュー		島			却下	03/24		03/25					
		FB対応		NTQ			却下	03/25		03/28					
		受入		島			却下	03/28		03/29					
		リリース準備		島			却下								
	"その他 検索設定と検索条件の新規保存（4分）
/cknowhow/movie/6"		ENG1ST-1988				却下					ENG1ST-1986同機能のため集約			
		実装		NTQ			却下	03/03		03/10					
		テスト仕様書作成		NTQ			却下	03/03		03/11					
		テスト仕様書レビュー		谷口		40.0h	却下	03/14		03/15					
		テスト仕様書FB対応		NTQ		16.0h	却下	03/16		03/16					
		機能テスト実施		NTQ			却下	03/17		03/18					
		レビュー		島			却下	03/24		03/25					
		FB対応		NTQ		16.0h	却下	03/25		03/28					
		受入		島			却下	03/28		03/29					
		リリース準備		島			却下								
	"その他 かんたん日程調整（8分）
/cknowhow/movie/10"		ENG1ST-1989				却下					ENG1ST-1986同機能のため集約			
		実装		NTQ			却下	03/03		03/10					
		テスト仕様書作成		NTQ			却下	03/03		03/11					
		テスト仕様書レビュー		谷口	40.0h	40.0h	却下	03/14		03/15					
		テスト仕様書FB対応		NTQ	16.0h	16.0h	却下	03/16		03/16					
		機能テスト実施		NTQ	40.0h	40.0h	却下	03/17		03/18					
		レビュー		島	16.0h	16.0h	却下	03/24		03/25					
		FB対応		NTQ	40.0h	40.0h	却下	03/25		03/28					
		受入		島	16.0h	16.0h	却下	03/28		03/29					
		リリース準備		島	40.0h	40.0h	却下								
	"その他（便利機能使い方動画＆ノウハウ集）
運営からのお知らせ画面
/cinformation/"		ENG1ST-1991	NTQ			仕掛中								 
		実装		NTQ	41.0h	16.0h	完了	03/03	02/23	03/10	03/11				
		テスト仕様書作成		NTQ	56.0h	8.0h	完了	03/03	03/03	03/11	03/14	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647249434066159			
		テスト仕様書レビュー		宗	4.0h	8.0h	完了	03/23	03/23	03/23	03/23				
		機能テスト実施		NTQ	30.0h	3.0h	完了	03/17	03/11	03/18	03/16	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647402249805209			
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	8.0h		未着手								
	"その他（便利機能使い方動画＆ノウハウ集）
オファー承認率を上げるポイントとは？？
/cknowhow/page/1"		ENG1ST-2003				却下					ENG1ST-1986同様			
		実装		NTQ			却下								
		テスト仕様書作成		NTQ			却下								
		テスト仕様書レビュー		谷口			却下								
		テスト仕様書FB対応		NTQ			却下								
		機能テスト実施		NTQ			却下								
		レビュー		島			却下								
		FB対応		NTQ			却下								
		受入		島			却下								
	"その他（便利機能使い方動画＆ノウハウ集）運営からのお知らせ
個別ページ
/cinformation/page/108/"		ENG1ST-2004	NTQ			完了								
		実装		NTQ	41.0h	40.0h	完了	03/03	03/03	03/23	03/23				
		テスト仕様書作成		NTQ	56.0h	16.0h	完了	03/03	03/03	03/11	03/11				
		テスト仕様書レビュー		宗	4.0h	8.0h	完了	03/18	03/18	03/18	03/18				
		機能テスト実施		NTQ	30.0h	16.0h	完了	03/18	03/13	03/22	03/15	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647331851969769			
		レビュー		島	8.0h	3.0h	完了	03/21	03/30	03/25	03/30				
		受入		島	8.0h	0.5h	完了	03/30	03/30	03/31	03/30				
	"イベントカレンダー画面
/cevent/calendar"		ENG1ST-2013	NTQ			仕掛中								
		実装		NTQ	41.0h	15.0h	完了	03/03	02/23	03/10	03/17				
		テスト仕様書作成		NTQ	56.0h	39.0h	完了	03/03	03/03	03/11	03/18	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647581577316819			
		テスト仕様書レビュー		山下	4.0h	8.0h	完了	03/14	03/23	03/15	03/23				
		テスト仕様書FB対応		NTQ	8.0h	1.0h	完了	03/28	03/28	04/05	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649142084719879?thread_ts=1647581577.316819&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	30.0h	23.0h	完了	03/17	03/17	03/18	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648703552108939			
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	8.0h		未着手								
	"ログアウト画面
/clogin/logout"		ENG1ST-1610	NTQ			仕掛中								
		実装		NTQ	109.0h	43.0h	完了	02/07	02/07	02/25	02/25				
		テスト仕様書作成		NTQ	128.0h	30.0h	完了	01/27	01/27	02/15	02/09				
		テスト仕様書レビュー		宗	4.0h	6.0h	完了	03/29	03/29	03/29	03/29				
		機能テスト実施		NTQ	72.0h	31.5h	完了	02/28	02/28	03/01	03/15	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647332321644889			
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	18.0h		未着手								
		受入		島	8.0h		未着手								
	"かんたん日程調整（開催前のイベント）
1. 概要入力・詳細入力・確認・作成完了
/cevent/new"		ENG1ST-2002				却下					1885にマージ			
		実装		NTQ			却下								
		テスト仕様書作成		NTQ			却下								
		テスト仕様書レビュー					却下								
		テスト仕様書FB対応		NTQ			却下								
		機能テスト実施		NTQ			却下								
		レビュー		島			却下								
		FB対応		NTQ			却下								
		受入		島			却下								
	共通機能テスト仕様書_モーダル			NTQ			完了								
		テスト仕様書作成		NTQ	12.0h	12.0h	完了	03/10	03/10	03/21	03/21	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649423235898769			
		テスト仕様書レビュー		宗	18.0h	16.0h	完了	04/19	04/19	04/20	04/20				
		テスト仕様書FB対応		NTQ	4.0h	0.0h	完了	04/20	04/20	04/20	04/20	指摘事項はありません			
	機能テスト仕様書_共通_企業_ログイン前フッター			NTQ			完了								
		テスト仕様書作成		NTQ	12.0h	10.0h	完了	02/21	02/21	02/24	02/24	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1645668538059539			
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	03/15	03/15	03/15	03/15	FB無し			
	機能テスト仕様書_共通_企業_ログイン前ヘッダー			NTQ			完了								
		テスト仕様書作成		NTQ	12.0h	10.0h	完了	02/16	02/16	02/18	02/18	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1645668538059539			
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	03/15	03/15	03/15	03/15	FB無し			
	機能テスト仕様書_企業_共通_フッター						仕掛中								
		テスト仕様書作成		堺			完了								
		テスト仕様書レビュー		山下	4.0h	1.0h	完了	05/16	05/16	05/16	05/16				
		テスト仕様書FB対応		宗	4.0h	6.0h	完了	05/24	05/24	05/24	05/24				
		テスト仕様書レビュー（FB対応確認）		山下		1.0h	完了	05/30	05/30	05/30	05/30				
		テスト実施（テスト仕様書FB対応分）		猿渡		2.0h	完了	06/07	06/07	06/07	06/07				
	機能テスト仕様書_企業_共通_ヘッダー						仕掛中								
		テスト仕様書作成		堺			完了								
		テスト仕様書レビュー		山下	4.0h	20.0h	完了	05/11	05/11	05/16	05/16				
		テスト仕様書FB対応		宗	8.0h	10.0h	完了	05/24	05/24	05/25	05/25				
		テスト仕様書レビュー（FB対応確認）		山下		2.0h	完了	05/30	05/30	05/30	05/30				
		テスト実施（テスト仕様書FB対応分）		猿渡			保留	06/07	06/07			マージ作業待ち			
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
