	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考			
		フラッシュメッセージ対応		三田	8.0h	8.0h	完了	10月	10月	10月	10月				
		テスト仕様書作成		三田	24.0h	24.0h	完了	10月	10月	10月	10月				
		機能テスト実施		三田	16.0h	16.0h	完了	10月	10月	10月	10月				
		コードレビュー		島	4.0h	4.0h	完了	01/27	01/28	01/31	01/31				
		不具合修正		三田	8.0h	8.0h	完了	12/23	12/23	12/23	12/23				
		リリース準備		三田	4.0h	4.0h	完了	12/23	12/23	12/23	12/23				
	"採用計画 届け出変更申請フォーム 画面
/ccontract/change"		ENG1ST-1560	i-plug			完了								
		実装		三田	40.0h	40.0h	完了	11/25	11/25	11/30	11/30				
		テスト仕様書作成		三田	24.0h	24.0h	完了	11/25	11/25	11/30	12/07				
		機能テスト実施		三田	16.0h	16.0h	完了	11/25	12/20	11/30	12/20				
		コードレビュー		島	4.0h	4.0h	完了	01/27	01/27	01/31	01/31				
		リリース準備		三田	4.0h	4.0h	完了	01/21	12/21	01/31	01/27				
	"採用計画 API連携　設定画面
/csettings/api/iweb
/csettings/api/sonar
/csettings/api/talentio"		ENG1ST-1854	i-plug			仕掛中								
		実装（i-web）		宗	40.0h	64.0h	完了	05/20	05/20	6/2	06/02	"5/24 一旦作業中止（レビューFBを先に作業するため）
5/26 作業再開
6/1 終了予定延長（2日）"			
		コードレビュー		島	4h	4.0h	完了	06/03	06/03	06/03	06/03				
		コードレビューFB対応		宗	18.0h	26.0h	完了	06/03	06/03	06/08	06/08				
		コードレビューFB対応確認		島	3.0h	4.0h	完了	06/09	06/09	06/09	06/09				
		コードレビューFB対応		宗											
		コードレビューFB対応確認		島											
		実装（SONAR）		宗	20.0h		未着手								
		実装（Talentio）		宗	20.0h		未着手								
		テスト仕様書（i-web）作成		猿渡	12.0h	56.0h	完了	03/07	03/07	3/15	03/15				
		テスト仕様書（i-web）レビュー		山下	4.0h	4.0h	完了	04/11	04/11	04/11	04/11				
		テスト仕様書（i-web）レビューFB対応		猿渡	0.5h	0.5h	完了	04/15	04/15	04/15	04/15				
		テスト仕様書（SONAR）作成		宗	16.0h	52.0h	完了	02/02	02/02	4/4	04/04	"3/2レビュー対応　学生機能（ヘッダ）を優先するため一旦保留
4/1対応再開"			
		テスト仕様書（SONAR）レビュー		山下	4.0h	4.0h	完了	04/11	04/11	04/11	04/11	指摘なし。終了。			
		テスト仕様書（Talentio）作成		山下	16.0h	54.0h	完了	02/02	02/02	03/04	03/04				
		テスト仕様書（Talentio）レビュー		宗	4.0h	4.0h	完了	05/18	05/18	05/18	05/18	https://iplug.slack.com/archives/C036SEDMCUB/p1654236304282219?thread_ts=1654161110.972109&cid=C036SEDMCUB			
		テスト仕様書（Talentio）レビューFB対応			0.5h	0.5h	完了	05/18	05/18	05/18	05/18				
		機能テスト（i-web）実施		島	16.0h		未着手								
		機能テスト（SONAR）実施		島	16.0h		未着手								
		機能テスト（Talentio）実施		島	16.0h		未着手								
	企業担当者一覧【MPA化】		ENG1ST-1866	i-plug			完了		 						
		実装	ENG1ST-1867	井村	40.0h	40.0h	完了	12/01	02/14	02/18	02/18				
		テスト仕様書作成	ENG1ST-1868	谷口	24.0h	24.0h	完了	12/01	12/01	01/19	01/19				
		機能テスト実施	ENG1ST-1869	井村	16.0h	16.0h	完了	01/21	02/18	01/26	02/18				
		コードレビュー		谷口	2.0h	2.0h	完了	02/18	03/01	03/01	03/01				
		FB対応		井村			完了	03/09	03/09	03/11	03/11				
	"【サブタスク】担当者一覧画面で修正漏れの対応
企業担当者一覧"		ENG1ST-2016	i-plug			完了								
		テスト仕様書原本修正		三田	2.0h	0.3h	完了	03/09	03/11	03/10	03/11				
		コード修正		井村	16.0h		完了	03/11	03/11	03/16	03/11				
		コードレビュー		三田	2.0h	0.3h	完了	03/17	03/11	03/18	03/11				
		機能テスト実施		三田	0.5h	0.5h	完了	03/11	03/11	03/11	03/11				
	"かんたん日程調整（開催前のイベント）イベント開催場所設定画面
/csettings/eventplace"		ENG1ST-1559	i-plug			仕掛中								
		実装	ENG1ST-1594	井村	40.0h	40.0h	完了	12/15	12/15	01/12	01/12				
		FB対応		井村	4.0h	4.0h	完了	01/17	02/21	01/21	02/21				
		FB対応レビュー		三田	1.0h	1.0h	完了	03/03	03/03	03/03	03/03				
		FB対応		井村	4.0h	4.0h	完了	03/04	03/04	03/09	03/09				
		FB対応レビュー		三田		0.3h	完了	03/09	03/08	03/11	03/08				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	01/07	01/07	01/14	01/14				
		テスト仕様書レビュー		谷口	4.0h	4.0h	完了	01/14	01/14	01/17	01/17				
		テスト仕様書レビュー反映		SHIFT	4.0h	4.0h	完了	01/17	01/17	01/17	01/17				
		テスト仕様書レビュー反映確認		宗	4.0h	8.0h	完了	04/06	04/06	04/06	04/06				
		機能テスト実施		猿渡	16.0h	34.0h	完了	04/07	04/07	04/12	04/13				
		実装（不具合対応 No.123-125)		小坂			未着手								
		コードレビュー（不具合対応 No.123-125)		三田			未着手								
		機能テスト実施（不具合対応 No.123-125)		猿渡			未着手								
	"採用計画　レジュメPDF出力
/cstudent/prof/513024"		ENG1ST-1920	i-plug			仕掛中								
		サブタスク実装		井村	40.0h	40.0h	完了	01/13	01/13	02/10	02/10				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	01/13	01/13	01/30	01/30				
		サブタスク ローカルのDocker環境でPDF出力できるようにする		井村	8.0h	8.0h	完了	01/13	01/13	02/10	02/10				
		レビュー		三田	3.0h	3.0h	完了	02/10	02/10	02/18	02/18				
		サブタスク Wkhtmltopdf クラスを v2 用に移植する		井村	8.0h	8.0h	完了	01/13	01/13	02/10	02/10				
		レビュー		三田	3.0h	2.0h	完了	02/10	02/10	02/18	02/18				
		メイン実装			24.0h		未着手					井村さんはコンポーネントレベルの部分しか実装していない模様。詳しくは三田さんが認識している。			
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	04/12	04/12	04/12	04/12				
		テスト仕様書レビューFB対応		宗	4.0h	8.0h	完了	05/19	05/19	05/19	05/19				
		コードレビュー		三田	16.0h		未着手								
		機能テスト実施			16.0h		未着手								
	ヘルプデスク		ENG1ST-1846	i-plug			仕掛中					企業｜ヘルプデスク系ZENDESKにSSOでサインインしてリダイレクト（共通）			
		実装		井村	40.0h	40.0h	完了	01/24	02/07	01/31	02/07				
		サブタスク Zendeskfunc を v2 用に移植		井村	8.0h	8.0h	完了	01/24	02/07	01/31	02/08				
		レビュー		三田	2.0h	3.0h	完了	02/07	02/07	02/11	02/11				
		FB対応		井村	4.0h	4.0h	完了	02/01	02/01	02/20	02/20				
		FB対応レビュー		三田	2.0h	1.0h	完了	02/20	02/20	02/20	02/20				
		テスト仕様書作成		SHIFT	24.0h	24.0h	完了	01/20	01/20	01/24	02/28				
		テスト仕様書レビュー			4.0h		保留					"仕様書が見つからないので延期。SHIFTさん作成のものなのでどっかいったかも？
本番アカウントしかないのでは？開発用なかったような、、、（宗"			
		コードレビュー		三田	4.0h	4.0h	完了	01/27	01/27	01/31	02/17				
		機能テスト実施		宗	16.0h		未着手								
	"選考する（選考管理リスト）メッセージリスト
＊＊＊さんとのメッセージ
/cmessage/list/recv
/cmessage/list/sent/1/50
/cmessage/index/335162"		ENG1ST-1999	i-plug			仕掛中								
		実装		井村	40.0h	24.0h	完了	02/22	02/24	3/31	03/31	FirebaseへのPush通知登録が未実装			
		コードレビュー(簡易)		三田	16.0h	1.0h	完了		03/31		03/31	引き継ぎのため			
		実装（引き継ぎ後）		三田	8.0h		未着手					FirebaseへのPush通知登録			
		コードレビュー			16.0h		未着手								
		テスト仕様書（メッセージリスト）作成		猿渡	24.0h	24.0h	完了	04/13	04/13	04/15	04/15	SHIFTさん作成分の確認＆修正			
